,,2014 VOTERS' REGISTER,,2014 GUBERNATORIAL RESULT,,2018 GUBERNATORIAL RESULT,,,2022 VOTERS' REGISTER,,,,,2022 GUBERNATORIAL RESULT,,,,,,
ID,LOCAL GOVERNMENT,TOTAL REGISTERED VOTERS,Total Polling Units,PDP,APC,PDP,APC,DIFFERENCE BETWEEN PDP & APC RESULTS,Total Polling Units,TOTAL REGISTERED VOTERS,TVV,TBU,%TURNOUT,PDP,APC,SDP,OTHERS,DIFFERENCE BETWEEN PDP & APC RESULTS,DIFFERENCE BETWEEN PDP & SDP RESULTS,
1,ADO EKITI," 134,093 ", 207 ," 41,169 "," 13,927 "," 32,810 "," 28,111 ",4699, 344 ," 179,071 "," 47,969 "," 48,680 ", 27.70 ," 7,575 "," 23,831 "," 15,214 ",2263," 16,256 "," 7,639 ",
2,EFON," 22,840 ", 119 ," 5,335 "," 3,422 "," 5,192 "," 5,028 ",164, 119 ," 30,076 "," 10,709 "," 11,118 ", 36.88 ," 6,303 "," 4,012 ", 339 ,185," (2,291)"," (5,964)",
3,EKITI EAST," 47,291 ", 95 ," 12,498 "," 8,584 "," 11,564 "," 12,778 ",-1214, 112 ," 61,357 "," 22,359 "," 22,862 ", 38.72 ," 5,230 "," 12,099 "," 4,982 ",724," 6,869 ", (248),
4,EKITI WEST," 40,843 ", 184 ," 10,702 "," 7,860 "," 8,423 "," 11,015 ",-2592, 184 ," 59,220 "," 12,208 "," 12,808 ", 24.12 ," 3,386 "," 15,322 "," 3,863 ",687," 11,936 ", 477 ,
5,EKITI SOUTH WEST," 42,269 ", 188 ," 11,038 "," 6,745 "," 10,137 "," 12,648 ",-2511, 188 ," 53,712 "," 22,878 "," 23,572 ", 39.80 ," 4,474 "," 9,679 "," 4,577 ",598," 5,205 ", 103 ,
6,EMURE," 27,079 ", 93 ," 7,086 "," 4,332 "," 7,121 "," 7,048 ",73, 94 ," 37,122 "," 14,164 "," 14,593 ", 39.31 ," 2,610 "," 7,728 "," 3,445 ",407," 5,118 ", 835 ,
7,GBONYIN," 42,259 ", 103 ," 11,046 "," 8,138 "," 8,027 "," 11,498 ",-3471, 115 ," 53,785 "," 19,844 "," 19,950 ", 37.09 ," 3,947 "," 11,247 "," 4,059 ",617," 7,300 ", 112 ,
8,IDO OSI," 43,063 ", 139 ," 13,045 "," 7,134 "," 11,145 "," 12,342 ",-1197, 144 ," 57,766 "," 22,684 "," 23,229 ", 40.21 ," 2,871 "," 10,321 "," 9,489 ",638," 7,450 "," 6,618 ",
9,IJERO," 49,502 ", 138 ," 13,814 "," 9,348 "," 11,070 "," 14,192 ",-3122, 145 ," 64,524 "," 24,364 "," 24,404 ", 37.82 ," 4,897 "," 13,754 "," 5,006 ",664," 8,857 ", 109 ,
10,IKERE," 45,738 ", 86 ," 16,197 "," 7,989 "," 17,183 "," 11,515 ",5608, 125 ," 65,651 "," 22,291 "," 22,102 ", 34.85 ," 3,789 "," 12,086 "," 1,943 ",4402," 8,297 "," (1,846)",
11,IKOLE," 49,269 ", 182 ," 14,238 "," 8,804 "," 13,961 "," 14,522 ",-561, 189 ," 71,971 "," 28,522 "," 29,624 ", 41.40 ," 6,266 "," 16,417 "," 5,736 ",1050," 10,151 ", (530),
